date,twse_close,twse_change_pct,candidate_count,v01_score,v01_regime,v02_score,v02_regime,breakout_count,postbreakout_count,near_pivot_count,forming_count,extended_count,active_industry_count,t1_return_pct,t3_return_pct,t5_return_pct,t10_return_pct,v02_delta_1d,v02_delta_5d,divergence_1d
2026-06-17,45877.39,0.1489,200,48.2,中性,49.5,中性,3,153,25,19,59,29,1.2813,2.6664,0.8237,1.8893,-0.5,1.8999999999999986,-0.6489
2026-06-18,46465.2,1.2813,200,47.8,中性,48.8,中性,3,164,26,7,74,29,2.7468,-0.9073,-4.075,0.6788,-0.7000000000000028,-4.400000000000006,-1.981300000000003
2026-06-22,47741.51,2.7468,200,48.7,中性,49.9,中性,6,182,12,0,74,30,-1.3424,-3.1131,-5.7426,-2.4824,1.1000000000000014,-10.600000000000001,-1.6467999999999985
2026-06-23,47100.65,-1.3424,200,51.4,中性,53.4,中性,5,144,26,25,46,25,-2.2442,-5.3691,-2.0695,-3.4427,3.5,1.1000000000000014,4.8424
2026-06-24,46043.6,-2.2442,188,53.8,中性,56.2,中性偏多,5,122,33,28,45,26,0.4597,-2.2668,2.1184,-0.6715,2.8000000000000043,6.200000000000003,5.0442000000000045
2026-06-25,46255.26,0.4597,159,49.2,中性,50.7,中性,1,104,31,23,37,25,-3.6396,-0.2796,1.057,-1.9471,-5.5,1.2000000000000028,-5.9597
2026-06-26,44571.76,-3.6396,95,49.0,中性,50.9,中性,1,61,14,19,17,24,0.9606,5.4905,4.9557,1.8145,0.19999999999999574,2.1000000000000014,3.839599999999996
2026-06-29,44999.9,0.9606,87,54.4,中性,57.4,中性偏多,2,45,16,24,17,23,2.5023,3.8761,3.4589,-0.5821,6.5,7.5,5.5394
2026-06-30,46125.91,2.5023,130,62.8,中性偏多,66.9,中性偏多,6,59,33,32,22,25,1.9362,1.4194,-1.4023,-1.0717,9.500000000000007,13.500000000000007,6.997700000000007
2026-07-01,47018.99,1.9362,160,64.0,中性偏多,67.5,中性偏多,9,81,36,34,31,24,-0.5845,-0.9839,-2.732,-2.9648,0.5999999999999943,11.299999999999997,-1.3362000000000056
2026-07-02,46744.16,-0.5845,184,58.4,中性偏多,61.5,中性偏多,6,98,43,37,41,26,0.078,-2.7063,-2.9727,-8.7132,-6.0,10.799999999999997,-5.4155
2026-07-03,46780.62,0.078,200,60.8,中性偏多,64.2,中性偏多,10,123,40,27,49,28,-0.4793,-2.2364,-2.9929,-9.2579,2.700000000000003,13.300000000000004,2.622000000000003
2026-07-06,46556.39,-0.4793,200,52.8,中性,54.5,中性,7,166,27,0,60,36,-2.3139,-2.5813,-3.9059,-4.9908,-9.700000000000003,-2.8999999999999986,-9.220700000000003
2026-07-07,45479.11,-2.3139,160,47.3,中性,48.2,中性,1,113,23,23,23,30,0.5614,-0.2168,0.3353,-1.4365,-6.299999999999997,-18.700000000000003,-3.9860999999999973
